ax, ay, az, gx, gy, gz
-0.8137455366679891,-0.043336283455916016,-0.5445722830896939,0.18311105685598317,-0.5035554063539537,0.5493331705679495
-0.815576647236549,-0.041383098849452196,-0.5449385052034059,0.22888882106997893,-0.5035554063539537,0.5951109347819452
-0.8149662770470291,-0.04199346903897214,-0.5445722830896939,0.27466658528397475,-0.6256294442579424,0.5493331705679495
-0.815576647236549,-0.043214209418012024,-0.5439619129001739,0.24414807580797754,-0.6103701895199438,0.5340739158299509
-0.8149662770470291,-0.04248176519058809,-0.5440839869380779,0.25940733054597614,-0.5798516800439466,0.5951109347819452
-0.814233832819605,-0.04113895077364421,-0.5410321359904782,0.25940733054597614,-0.640888698995941,0.5188146610919523
-0.8171636097293008,-0.043214209418012024,-0.5445722830896939,0.2899258400219733,-0.6103701895199438,0.6256294442579424
-0.8180181279946287,-0.04431287575914793,-0.5456709494308298,0.24414807580797754,-0.640888698995941,0.5798516800439466
-0.8141117587817011,-0.043336283455916016,-0.5422528763695181,0.16785180211798456,-0.6103701895199438,0.6256294442579424
-0.8165532395397809,-0.042359691152684106,-0.5454268013550219,0.19837031159398175,-0.5951109347819452,0.640888698995941
-0.8146000549333171,-0.04199346903897214,-0.543595690786462,0.25940733054597614,-0.5645924253059481,0.47303689687795647
-0.8169194616534928,-0.04248176519058809,-0.543595690786462,0.21362956633198035,-0.5951109347819452,0.5798516800439466
-0.8170415356913968,-0.04199346903897214,-0.5453047273171179,0.3051850947599719,-0.5798516800439466,0.5340739158299509
-0.8148442030091251,-0.042359691152684106,-0.543473616748558,0.25940733054597614,-0.6103701895199438,0.5188146610919523
-0.8185064241462447,-0.04284798730430006,-0.5453047273171179,0.21362956633198035,-0.5798516800439466,0.5493331705679495
-0.8185064241462447,-0.04272591326639607,-0.5460371715445418,0.3204443494979705,-0.640888698995941,0.5493331705679495
-0.8128910184026612,-0.04174932096316416,-0.5417645802179022,0.19837031159398175,-0.5340739158299509,0.5951109347819452
-0.8138676107058931,-0.04211554307687612,-0.5421308023316141,0.24414807580797754,-0.5188146610919523,0.6103701895199438
-0.8164311655018769,-0.042359691152684106,-0.543107394634846,0.25940733054597614,-0.6256294442579424,0.6256294442579424
-0.8171636097293008,-0.04284798730430006,-0.5440839869380779,0.21362956633198035,-0.7019257179479355,0.6714072084719382
-0.8125247962889492,-0.04272591326639607,-0.5427411725211341,0.19837031159398175,-0.5951109347819452,0.5645924253059481
-0.815454573198645,-0.04284798730430006,-0.5449385052034059,0.2899258400219733,-0.5798516800439466,0.5340739158299509
-0.8169194616534928,-0.04382457960753197,-0.543717764824366,0.27466658528397475,-0.6256294442579424,0.5798516800439466
